,index,methods,Length
0,10559,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
1,15376,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
2,15377,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
3,19300,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
4,27129,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
5,34100,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
6,34108,"['xigema_check', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
7,34109,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
8,34118,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
9,34126,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
10,34127,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
11,34324,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
12,38482,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
13,43320,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
14,43321,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
15,43330,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
16,43338,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
17,43346,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
18,46272,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
19,47776,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
20,47784,"['xigema_check', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
21,47785,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
22,47794,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
23,47803,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
24,52643,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
25,52644,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
26,52652,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
27,52653,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
28,52661,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
29,52750,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
30,52759,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
31,52760,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']",3
32,57502,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
33,57503,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
34,57512,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
35,57520,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
36,57529,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
37,63323,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
38,63324,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
39,63325,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
40,63331,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
41,63332,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
42,63341,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
43,63348,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
44,63349,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
45,63678,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
46,63832,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
47,64166,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
48,64169,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
49,64201,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
50,64202,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
51,64204,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
52,66759,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
53,66802,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
54,67721,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
55,67722,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
56,67730,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
57,67731,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
58,67732,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
59,67741,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
60,67750,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
61,67751,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
62,67845,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
63,67846,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
64,72270,"['xigema_check', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
65,72271,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
66,72280,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
67,72290,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
68,72299,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
69,78096,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
70,79253,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
71,80278,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']",3
72,80287,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
73,80288,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
74,80295,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
75,80296,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
76,80304,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
77,87587,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
78,87588,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']",3
79,89217,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
80,89218,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
81,89226,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
82,89227,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
83,89228,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
84,89235,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
85,89236,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
86,89244,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
87,89245,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
88,89404,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
89,89465,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
90,89582,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
91,93406,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
92,93407,"['xigema_check', 'seven_check_method', 'dynamic_threshold']",3
93,93496,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
94,93498,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
95,93507,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
96,93510,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
97,93543,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
98,93544,"['xigema_check', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
